iter	Passed	Remaining
0	1	130
1	2	131
2	3	128
3	5	122
4	6	120
5	7	119
6	8	117
7	10	116
8	11	115
9	12	113
10	13	112
11	15	111
12	16	111
13	17	110
14	19	108
15	20	108
16	22	107
17	23	106
18	24	104
19	25	103
20	26	101
21	28	100
22	29	99
23	31	98
24	32	96
25	33	95
26	35	94
27	36	93
28	37	91
29	38	90
30	39	88
31	41	87
32	42	86
33	43	85
34	45	84
35	46	82
36	47	81
37	49	80
38	50	79
39	52	78
40	54	77
41	54	75
42	56	74
43	57	73
44	58	71
45	59	70
46	61	69
47	62	68
48	64	66
49	65	65
50	66	63
51	67	62
52	68	61
53	70	59
54	71	58
55	72	56
56	73	55
57	75	54
58	76	52
59	77	51
60	78	50
61	79	48
62	81	47
63	82	46
64	83	44
65	84	43
66	86	42
67	87	41
68	88	39
69	89	38
70	91	37
71	93	36
72	94	34
73	95	33
74	97	32
75	98	31
76	99	29
77	100	28
78	102	27
79	103	25
80	104	24
81	105	23
82	107	21
83	108	20
84	109	19
85	110	18
86	112	16
87	113	15
88	114	14
89	115	12
90	117	11
91	118	10
92	119	9
93	121	7
94	122	6
95	123	5
96	124	3
97	126	2
98	127	1
99	128	0
